Pebble-safe;<a href='https://github.com/DesiQuintans/pebble-themes'>link</a>;<a href='https://raw.githubusercontent.com/DesiQuintans/pebble-themes/master/Pebble-safe.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/DesiQuintans/pebble-themes/master/images/pebble-safe.png'>link</a>;a light theme with colourblind-friendly colours from the RColorBrewer package
Pebble-Safe Light;<a href='https://github.com/DesiQuintans/Pebble-safe'>link</a>;<a href='https://raw.githubusercontent.com/DesiQuintans/Pebble-safe/master/Pebble-Safe_Light.rstheme'>link</a>;FALSE;<a href='https://raw.githubusercontent.com/DesiQuintans/Pebble-safe/master/_img/light.png'>link</a>;a colourblind-safe theme based on Pebble. coming in a dark and a light variant
Solarized Light {rsthemes};<a href='https://github.com/gadenbuie/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/solarized-light.rstheme'>link</a>;FALSE;<a href=''>link</a>;from the rsthemes package
Textmate (high contrast comments);<a href='https://github.com/james-e-thomas/textmate_high_contrast_comments/'>link</a>;<a href='https://raw.githubusercontent.com/james-e-thomas/textmate_high_contrast_comments/master/textmate_high_contrast_comments.rstheme'>link</a>;FALSE;<a href=''>link</a>;a version of the default Textmate theme with higher contrast comments
Tomorrow IDLE;<a href='https://github.com/devnich/rstudio'>link</a>;<a href='https://raw.githubusercontent.com/devnich/rstudio/master/themes/Tomorrow%20IDLE.rstheme'>link</a>;FALSE;<a href=''>link</a>;from devnich's theme collection
49th Parallel;<a href='https://github.com/wvictor14/rstudio_themes'>link</a>;<a href='https://raw.githubusercontent.com/wvictor14/rstudio_themes/master/49th%20Parallel.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/wvictor14/rstudio_themes/master/images/preview_49th_parallel.png'>link</a>;a dark theme as a tribute to a Vancouver coffee shop
a11y-dark {rsthemes};<a href='https://github.com/gadenbuie/rsthemes/'>link</a>;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/a11y-dark.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/a11y_dark.png'>link</a>;from the rsthemes package
Alice;<a href='https://github.com/rileytwo/rsthemes'>link</a>;<a href='https://raw.githubusercontent.com/rileytwo/rsthemes/master/Alice.rstheme'>link</a>;TRUE;<a href=''>link</a>;similar to the Kiss theme
An Old Hope;<a href='https://github.com/otzslayer/an-old-hope-rstudio'>link</a>;<a href='https://raw.githubusercontent.com/otzslayer/an-old-hope-rstudio/master/An%20Old%20Hope.tmTheme'>link</a>;TRUE;<a href=''>link</a>; inspired by a galaxy far far away
Apprentice;<a href='https://github.com/FvD/rsApprentice'>link</a>;<a href='https://raw.githubusercontent.com/FvD/rsApprentice/master/Apprentice.rstheme'>link</a>;TRUE;<a href=''>link</a>;based on the Apprentice color scheme for vim
Asher Theme;<a href='https://github.com/michaelasher/CustomRStudioTheme'>link</a>;<a href='https://raw.githubusercontent.com/CustomRStudioTheme/master/RStudioStyleFiles/asher.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/michaelasher/CustomRStudioTheme/master/images/RStudioAsherAppearance.png'>link</a>;a dark theme emulating the style of Visual Studio
ayu-dark;<a href='https://github.com/graiffgarcia/ayu-ish-rstudio'>link</a>;<a href='https://raw.githubusercontent.com/graiffgarcia/ayu-ish-rstudio/master/rstheme/ayu-dark.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/graiffgarcia/ayu-ish-rstudio/master/assets/ayu-dark.png'>link</a>;part of an ayu-ish theme collection by graiffgarcia (which is a port of the Ayu sublime theme)
ayu dark;<a href='https://github.com/davidgibsonp/ayu-rstudio/'>link</a>;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-dark.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/dark.png'>link</a>;part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
ayu mirage;<a href='https://github.com/davidgibsonp/ayu-rstudio/'>link</a>;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/rstheme/ayu-mirage.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/davidgibsonp/ayu-rstudio/master/assets/mirage.png'>link</a>;part of the Ayu theme collection by David Gibson (which is a port of the Ayu sublime theme)
Base16 Eighties Dark;<a href='https://github.com/jealcalat/rstudio_themes'>link</a>;<a href='https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Base16%20Eighties%20Dark.tmTheme'>link</a>;TRUE;<a href=''>link</a>;part of a collection of modified tmthemes
Behave;<a href='https://github.com/jealcalat/rstudio_themes'>link</a>;<a href='https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Behave.rstheme'>link</a>;TRUE;<a href=''>link</a>;part of a collection of modified tmthemes
Bluebell / JTheme;<a href='https://github.com/conig/JTheme'>link</a>;<a href='https://raw.githubusercontent.com/conig/JTheme/master/inst/bluebell.rstheme'>link</a>;TRUE;<a href=''>link</a>;part of the JTheme package
BreezeDark;<a href='https://github.com/nnamliehbes/Breeze-RStudio-Theme'>link</a>;<a href='https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/BreezeDark.rstheme'>link</a>;TRUE;<a href='https://raw.githubusercontent.com/nnamliehbes/Breeze-RStudio-Theme/master/Breeze_Dark.png'>link</a>;a theme matching the Breeze theme in KDE Plasma
CobaltFlag;<a href='https://github.com/nchen4/RStudioTheme'>link</a>;<a href='https://raw.githubusercontent.com/nchen4/RStudioTheme/master/CobaltFlag.rstheme'>link</a>;TRUE;<a href=''>link</a>;
colornew;<a href='https://github.com/jesusestevez/RStudio_Theme'>link</a>;<a href='https://raw.githubusercontent.com/jesusestevez/RStudio_Theme/main/colornew.rstheme'>link</a>;TRUE;<a href=''>link</a>;based on the Monokai palette with comment colors like Stata
Custom;<a href='https://github.com/Wcarcamo/RStudioTheme'>link</a>;<a href='https://raw.githubusercontent.com/Wcarcamo/RStudioTheme/master/Custom.rstheme'>link</a>;TRUE;<a href=''>link</a>;
Custom One Dark Pro;<a href='https://github.com/germaximus/Rstudio_OneDark_Theme'>link</a>;<a href='https://raw.githubusercontent.com/germaximus/Rstudio_OneDark_Theme/main/custom_One_Dark.rstheme'>link</a>;TRUE;<a href=''>link</a>;inspired by the One Dark theme from Atom
Darkula;<a href='https://github.com/jealcalat/rstudio_themes'>link</a>;<a href='https://raw.githubusercontent.com/jealcalat/rstudio_themes/master/Darkula.rstheme'>link</a>;TRUE;<a href=''>link</a>;part of a collection of modified tmthemes
DarkulaAdwaita;<a href='https://github.com/aldomann/rstudio-adwaita-dark-theme'>link</a>;<a href='https://raw.githubusercontent.com/aldomann/rstudio-adwaita-dark-theme/master/DarkulaAdwaita.rstheme'>link</a>;TRUE;<a href=''>link</a>;dark theme plus Qt style sheet
Engineering Pad;<a href='https://github.com/nt-williams/engineering-pad'>link</a>;<a href='https://raw.githubusercontent.com/engineering-pad/master/engineeringPad.rstheme'>link</a>;TRUE;<a href=''>link</a>;a theme inspired by the creator's favorite engineering pad
EvangelionUnit01;<a href='https://github.com/takemal-studio/RStudio_EvangelionUnit01_theme'>link</a>;<a href='https://raw.githubusercontent.com/takemal-studio/RStudio_EvangelionUnit01_theme/master/EvangelionUnit01.rstheme'>link</a>;TRUE;<a href='screenshot'>link</a>;modeled after one of the mechas in the manga Neon Genesis Evangelion
