"theme_name","github_repository","github_direct_link","is_dark","screenshot","description"
"base16 Google Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-google-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_google_dark.png","from the rsthemes package"
"base16 Google Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-google-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_google_light.png","from the rsthemes package"
"base16 Grayscale Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-grayscale-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_grayscale_dark.png","from the rsthemes package"
"base16 Grayscale Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-grayscale-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_grayscale_light.png","from the rsthemes package"
"base16 Green Screen {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-green-screen.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_green_scren.png","from the rsthemes package"
"base16 Gruvbox dark, hard {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-dark-hard.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_dark__hard.png","from the rsthemes package"
"base16 Gruvbox dark, medium {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-dark-medium.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_dark__medium.png","from the rsthemes package"
"base16 Gruvbox dark, pale {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-dark-pale.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_dark__pale.png","from the rsthemes package"
"base16 Gruvbox dark, soft {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-dark-soft.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_dark__soft.png","from the rsthemes package"
"base16 Gruvbox light, hard {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-light-hard.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_light__hard.png","from the rsthemes package"
"base16 Gruvbox light, medium {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-light-medium.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_light__medium.png","from the rsthemes package"
"base16 Gruvbox light, soft {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-gruvbox-light-soft.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_gruvbox_light__soft.png","from the rsthemes package"
"base16 Harmonic16 Dark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-harmonic16-dark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_harmonic16_dark.png","from the rsthemes package"
"base16 Harmonic16 Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-harmonic16-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_harmonic16_light.png","from the rsthemes package"
"base16 Hopscotch {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-hopscotch.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_hopscotch.png","from the rsthemes package"
"base16 IR Black {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-ir-black.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_ir_black.png","from the rsthemes package"
"base16 IR Isotope {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-ir-isotope.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_ir_isotope.png","from the rsthemes package"
"base16 London Tube {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-london-tube.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_london_tube.png","from the rsthemes package"
"base16 Macintosh {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-macintosh.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_macintosh.png","from the rsthemes package"
"base16 Marrakesh {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-marrakesh.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_marrakesh.png","from the rsthemes package"
"base16 Materia {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-materia.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_materia.png","from the rsthemes package"
"base16 Mexico Light {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-mexico-light.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_mexico_light.png","from the rsthemes package"
"base16 Mocha {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-mocha.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_mocha.png","from the rsthemes package"
"base16 Monokai {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-monokai.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_monokai.png","from the rsthemes package"
"base16 Nord {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-nord.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_nord.png","from the rsthemes package"
"base16 Ocean {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-ocean.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_ocean.png","from the rsthemes package"
"base16 OceanicNext {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-oceanicnext.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_oceanicnext.png","from the rsthemes package"
"base16 OneDark {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-onedark.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_onedark.png","from the rsthemes package"
"base16 Paraiso {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-paraiso.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_paraiso.png","from the rsthemes package"
"base16 PhD {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-phd.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_phd.png","from the rsthemes package"
"base16 Pico {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-pico.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_pico.png","from the rsthemes package"
"base16 Pop {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-pop.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_pop.png","from the rsthemes package"
"base16 Railscasts {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-railscasts.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_railscasts.png","from the rsthemes package"
"base16 Rebecca {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-rebecca.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_rebecca.png","from the rsthemes package"
"base16 Seti UI {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-seti-ui.rstheme",TRUE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_seti_ui.png","from the rsthemes package"
"base16 Shapeshifter {rsthemes}","https://github.com/gadenbuie/rsthemes/","https://raw.githubusercontent.com/gadenbuie/rsthemes/main/inst/themes/base16/base16-shapeshifter.rstheme",FALSE,"https://raw.githubusercontent.com/gadenbuie/rsthemes/assets/themes/base16_shapeshifter.png","from the rsthemes package"
